constructorRef,constructorId
mclaren,1
bmw_sauber,2
williams,3
sauber,15
renault,4
ferrari,6
toro_rosso,5
alfa,51
toyota,7
bar,16
red_bull,9
force_india,10
jaguar,19
honda,11
brawn,23
