nationality,nationalityN
British,4
Spanish,20
Finnish,10
Austrian,1
Colombian,7
Mexican,15
Australian,0
Danish,8
Belgian,2
German,12
Polish,18
Canadian,5
Brazilian,3
Venezuelan,24
Thai,23
Dutch,9
Italian,13
Japanese,14
Swedish,21
Monegasque,16
Russian,19
French,11
Swiss,22
New Zealander,17
Chinese,6
